"ID","Date","Date.V","Year","Year.V","month","quarter","year","month.1","quarter.1","year.1","year.2","year.3","Country","State","Location.new","Latitude","Longitude","Geocluster","PRCP","TMAX","TMIN","Varroa","V.arrival","ABPV","Amfv","Arv2","BQCV","CBPV","DWV_A","DWV_B","DWV_C","IAPV","KBV","LSV","SBPV","SBV","VDV2","VDV3","Vov1","VTV","Afr.Extent","Africanization"
"1002",1988-03-21,1995-04-11,1988,1995,-85.9,-28.6333333333333,-7.06027397260274,-86,-29,-8,"0","0","MEXICO","TAMAULIPAS","Aldama region",22.921855,-98.082063,"TAM",0,26.67,6.11,NA,0,0,392.837,0,256935,56188.7,0,0,0,0,0,437946,0,248537,0,0,0,0,1e-07,0
"1003",1988-03-21,1995-04-11,1988,1995,-85.9,-28.6333333333333,-7.06027397260274,-86,-29,-8,"0","0","MEXICO","TAMAULIPAS","Aldama region",22.921855,-98.082063,"TAM",0,26.67,6.11,NA,0,0,59.9878,0,10701.6,180230,0,0,0,0,0,25725.5,0,783282,0,0,0,0,1e-07,0
"1011",1988-04-18,1995-04-11,1988,1995,-84.9666666666667,-28.3222222222222,-6.98356164383562,-85,-29,-7,"0","0","MEXICO","TAMAULIPAS","Soto La Marina region",23.771584,-98.207932,"TAM",0,32.78,20,NA,0,0,0.781153,0,223.736,18.47,0,0,0,0,0,999750,0,7.46368,0,0,0,0,1e-07,0
"1017",1988-03-23,1995-04-11,1988,1995,-85.8333333333333,-28.6111111111111,-7.05479452054795,-86,-29,-8,"0","0","MEXICO","TAMAULIPAS","Soto La Marina region",23.771584,-98.207932,"TAM",0,27.22,17.78,NA,0,0,903.191,0,0,0,0,0,0,0,0,22044.2,0,977053,0,0,0,0,2.64953361621944,1
"1019",1988-03-22,1995-04-11,1988,1995,-85.8666666666667,-28.6222222222222,-7.05753424657534,-86,-29,-8,"0","0","MEXICO","TAMAULIPAS","Soto La Marina region",23.771584,-98.207932,"TAM",0,27.78,17.78,NA,0,0,723591,0,2815.11,0,0,0,0,0,0,8139.76,0,265455,0,0,0,0,1e-07,0
"1022",1988-03-23,1995-04-11,1988,1995,-85.8333333333333,-28.6111111111111,-7.05479452054795,-86,-29,-8,"0","0","MEXICO","TAMAULIPAS","Soto La Marina region",23.771584,-98.207932,"TAM",0,27.22,17.78,NA,0,0,600.23,0,412023,0,0,0,0,0,0,414115,0,173262,0,0,0,0,1e-07,0
"1024",1988-03-23,1995-04-11,1988,1995,-85.8333333333333,-28.6111111111111,-7.05479452054795,-86,-29,-8,"0","0","MEXICO","TAMAULIPAS","Soto La Marina region",23.771584,-98.207932,"TAM",0,27.22,17.78,NA,0,0,2973.72,0,883726,70822,0,0,0,0,0,42478.1,0,0,0,0,0,0,1e-07,0
"1025",1988-03-23,1995-04-11,1988,1995,-85.8333333333333,-28.6111111111111,-7.05479452054795,-86,-29,-8,"0","0","MEXICO","TAMAULIPAS","Soto La Marina region",23.771584,-98.207932,"TAM",0,27.22,17.78,NA,0,0,5531.86,0,0,0,0,0,0,0,0,951951,0,42516.8,0,0,0,0,1e-07,0
"1027",1988-03-23,1995-04-11,1988,1995,-85.8333333333333,-28.6111111111111,-7.05479452054795,-86,-29,-8,"0","0","MEXICO","TAMAULIPAS","Soto La Marina region",23.771584,-98.207932,"TAM",0,27.22,17.78,NA,0,0,14730.1,0,0,0,0,0,0,0,0,843873,0,141397,0,0,0,0,1e-07,0
"1028",1988-03-23,1995-04-11,1988,1995,-85.8333333333333,-28.6111111111111,-7.05479452054795,-86,-29,-8,"0","0","MEXICO","TAMAULIPAS","Soto La Marina region",23.771584,-98.207932,"TAM",0,27.22,17.78,NA,0,0,916.972,0,602899,0,0,0,0,0,0,396184,0,0,0,0,0,0,1e-07,0
"1029",1988-03-23,1995-04-11,1988,1995,-85.8333333333333,-28.6111111111111,-7.05479452054795,-86,-29,-8,"0","0","MEXICO","TAMAULIPAS","Soto La Marina region",23.771584,-98.207932,"TAM",0,27.22,17.78,NA,0,0,998171,0,0,0,0,0,0,0,0,1218.38,0,610.379,0,0,0,0,1e-07,0
"1031",1988-03-23,1995-04-11,1988,1995,-85.8333333333333,-28.6111111111111,-7.05479452054795,-86,-29,-8,"0","0","MEXICO","TAMAULIPAS","Soto La Marina region",23.771584,-98.207932,"TAM",0,27.22,17.78,NA,0,0,10360,0,102399,0,0,0,0,0,0,590059,0,297182,0,0,0,0,1.32552133305322,1
"1032",1988-03-23,1995-04-11,1988,1995,-85.8333333333333,-28.6111111111111,-7.05479452054795,-86,-29,-8,"0","0","MEXICO","TAMAULIPAS","Soto La Marina region",23.771584,-98.207932,"TAM",0,27.22,17.78,NA,0,0,598.658,0,25016.2,0,0,0,0,0,0,82616.7,0,891768,0,0,0,0,4.04583103638215,1
"1033",1988-03-23,1995-04-11,1988,1995,-85.8333333333333,-28.6111111111111,-7.05479452054795,-86,-29,-8,"0","0","MEXICO","TAMAULIPAS","Soto La Marina region",23.771584,-98.207932,"TAM",0,27.22,17.78,NA,0,0,635.395,0,188995,0,0,0,0,0,0,18176.2,0,792194,0,0,0,0,1e-07,0
"1034",1988-03-23,1995-04-11,1988,1995,-85.8333333333333,-28.6111111111111,-7.05479452054795,-86,-29,-8,"0","0","MEXICO","TAMAULIPAS","Soto La Marina region",23.771584,-98.207932,"TAM",0,27.22,17.78,NA,0,0,33166.8,0,170525,0,0,0,0,0,0,411536,0,384772,0,0,0,0,1e-07,0
